epoch,cost_train,cost_test,accu_train,accu_test
  328.0000,    0.8677,    0.8668,    0.5937,    0.5942
  329.0000,    0.8663,    0.8658,    0.5940,    0.5941
  330.0000,    0.8656,    0.8648,    0.5941,    0.5941
  331.0000,    0.8646,    0.8639,    0.5938,    0.5939
  332.0000,    0.8638,    0.8630,    0.5936,    0.5939
  333.0000,    0.8627,    0.8620,    0.5934,    0.5939
  334.0000,    0.8618,    0.8611,    0.5935,    0.5938
  335.0000,    0.8608,    0.8601,    0.5936,    0.5936
  336.0000,    0.8598,    0.8592,    0.5936,    0.5936
  337.0000,    0.8588,    0.8582,    0.5936,    0.5935
  338.0000,    0.8579,    0.8573,    0.5937,    0.5935
  339.0000,    0.8571,    0.8563,    0.5937,    0.5937
  340.0000,    0.8559,    0.8554,    0.5934,    0.5939
  341.0000,    0.8552,    0.8545,    0.5936,    0.5941
  342.0000,    0.8543,    0.8535,    0.5932,    0.5940
  343.0000,    0.8532,    0.8526,    0.5940,    0.5940
  344.0000,    0.8523,    0.8516,    0.5933,    0.5940
  345.0000,    0.8511,    0.8507,    0.5935,    0.5939
  346.0000,    0.8506,    0.8498,    0.5934,    0.5937
  347.0000,    0.8498,    0.8488,    0.5933,    0.5936
  348.0000,    0.8490,    0.8479,    0.5933,    0.5938
  349.0000,    0.8478,    0.8469,    0.5934,    0.5937
  350.0000,    0.8469,    0.8460,    0.5934,    0.5936
  351.0000,    0.8461,    0.8451,    0.5932,    0.5935
  352.0000,    0.8452,    0.8441,    0.5932,    0.5934
  353.0000,    0.8441,    0.8432,    0.5929,    0.5935
  354.0000,    0.8429,    0.8423,    0.5936,    0.5936
  355.0000,    0.8422,    0.8413,    0.5934,    0.5937
  356.0000,    0.8415,    0.8404,    0.5934,    0.5937
  357.0000,    0.8404,    0.8395,    0.5936,    0.5936
  358.0000,    0.8397,    0.8385,    0.5934,    0.5937
  359.0000,    0.8387,    0.8376,    0.5935,    0.5936
  360.0000,    0.8376,    0.8367,    0.5935,    0.5935
  361.0000,    0.8367,    0.8357,    0.5935,    0.5934
  362.0000,    0.8362,    0.8348,    0.5940,    0.5935
  363.0000,    0.8350,    0.8339,    0.5932,    0.5934
  364.0000,    0.8342,    0.8329,    0.5936,    0.5932
